,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
54,54,hagane no renkinjutsushi,5,4,7,0
55,55,the boondocks,5,4,6,67
56,56,kôkaku kidôtai: stand alone complex,5,4,22,73
57,57,battlestar galactica,8,6,18,137
58,58,samurai jack,5,4,7,0
59,59,yu yu hakusho,5,4,7,0
60,60,rurôni kenshin - meiji kenkaku romantan,5,4,7,0
61,61,meitantei conan,5,4,6,67
62,62,shin seiki evangerion,5,4,18,76
63,63,x-men,5,4,20,127
64,64,"love, death & robots",5,11,5,81
65,65,the dragon prince,5,4,7,0
66,66,apharan,8,19,16,26
67,67,infinity train,5,4,7,0
68,68,made in abyss,5,4,7,0
69,70,boku no hîrô akademia,5,4,7,0
70,71,barry,8,5,22,41
71,72,ash vs evil dead,8,5,2,83
72,73,jojo no kimyô-na bôken,5,4,7,0
73,74,banshee,8,19,18,2
74,75,"unsere mütter, unsere väter",8,16,8,5
75,76,trollhunters,5,4,7,0
76,77,the legend of korra,5,4,7,0
77,78,grahan,8,16,8,5
78,79,binsenjo,8,5,22,41
79,80,mushoku-tensei ~isekai ittara honki dasu~,5,4,7,0
80,81,peacemaker,8,6,6,17
81,82,the legend of vox machina,5,4,7,0
82,83,star wars: the clone wars,5,4,7,0
83,84,naruto,5,4,7,0
84,85,red vs. blue,5,11,5,81
85,86,24,8,19,18,2
86,87,invader zim,5,4,7,0
87,88,seinto seiya,5,4,7,0
88,89,stargåte sg-1,8,6,18,137
89,90,the new batman adventures,5,4,7,0
90,91,spider-man,5,4,7,0
91,92,babylon 5,8,6,18,137
92,93,star trek,8,6,0,27
93,94,dororo,5,4,7,0
94,95,yakusoku no neverland,5,4,7,0
95,96,black clover,5,4,7,0
96,97,kingdom,8,16,10,130
97,98,castlevania,5,4,7,0
98,99,the cheat,8,16,0,62
99,100,the old man,8,16,16,54
100,101,godless,8,16,21,63
101,102,tae-yang-eui hoo-ye,8,5,18,61
102,103,dragon ball super: doragon bôru cho,5,4,7,0
103,104,kiseijû: sei no kakuritsu,5,4,18,76
104,105,suskunlar,8,19,18,2
105,106,key and peele,8,6,6,17
106,107,longmire,8,19,18,2
107,108,millennium,8,19,19,107
108,109,the avengers: earth's mightiest heroes,5,4,7,0
109,110,24: live another day,8,19,18,2
110,111,dragon ball kai: doragon bôru kai,5,4,7,0
111,112,special ops 1.5: the himmat story,8,19,18,2
112,113,kipo and the age of wonderbeasts,5,4,7,0
113,114,the spectacular spider-man,5,4,7,0
114,115,tengen toppa gurren lagann,5,4,7,0
115,116,hellsing ultimate,5,4,2,105
116,117,prison break,8,19,18,2
117,118,the pacific,8,6,18,137
118,119,megas xlr,5,11,5,81
119,120,brigada,8,19,18,2
120,121,farscape,8,6,18,137
121,122,the adventures of tintin,5,4,7,0
122,123,spooks,8,19,18,2
123,124,buffy the vampire slayer,8,16,2,114
124,125,"the adventures of brisco county, jr.",8,6,6,17
125,126,the avengers,8,5,22,41
126,127,dokutaa sutoon,5,4,7,0
127,128,loki,8,6,2,6
128,129,that time i got reincarnated as a slime,5,4,7,0
129,130,baegabondeu,8,17,16,93
130,131,banana fish,5,4,7,0
131,132,the owl house,5,4,7,0
132,133,amphibia,5,4,7,0
133,134,killing eve,8,6,18,137
134,135,la casa de papel,8,19,18,2
135,136,final space,5,4,7,0
136,137,ducktales,5,4,7,0
137,138,the witcher,8,6,18,137
138,139,legion,8,16,0,62
139,140,dragons: race to the edge,5,4,7,0
140,141,fauda,8,16,16,54
141,142,dirk gently's holistic detective agency,8,6,6,17
142,143,steven universe,5,11,5,81
143,144,psycho-pass,5,4,22,73
144,145,black sails,8,6,18,137
145,146,fate/zero,5,4,7,0
146,147,tron: uprising,5,4,7,0
147,148,baccano!,5,4,7,0
148,149,d.p.,8,19,18,2
149,150,star trek: strange new worlds,8,6,0,27
150,151,hotel del luna,8,5,18,61
151,152,chuck,8,5,18,61
152,153,bleach: burîchi,5,4,7,0
153,154,farscape: the peacekeeper wars,8,6,18,137
154,155,trigun,5,4,7,0
155,156,quantum leap,8,6,18,137
156,157,get smart,8,6,6,17
157,158,rangbaaz,8,14,22,32
158,159,reacher,8,19,18,2
159,160,gangs of london,8,19,18,2
160,161,içerde,8,19,18,2
161,162,w - du gaeui segye,8,5,18,61
162,163,poyraz karayel,8,6,6,17
163,164,chicago p.d.,8,19,18,2
164,165,happy!,8,5,22,41
165,166,siti hyunteo,8,3,16,80
166,167,strike back,8,16,16,54
167,168,gyeongiroun somun,8,2,10,58
168,169,tokyo revengers,5,4,18,76
169,170,the terminal list,8,16,16,54
170,171,dorohedoro,5,4,6,67
171,172,the lost room,8,2,19,51
172,173,day break,8,16,0,62
173,174,stargate: atlåntis,8,6,18,137
174,175,flcl,5,4,6,67
175,176,batman beyond,5,4,7,0
176,177,spawn,5,4,7,0
177,178,superman,5,4,7,0
178,179,beast wars: transformers,5,4,7,0
179,180,gargoyles,5,4,7,0
180,181,star trek: deep space nine,8,6,18,137
181,183,the wild wild west,8,6,21,14
182,184,tate no yuusha no nariagari,5,4,7,0
183,185,siyah beyaz ask,8,16,3,134
184,186,börü,8,15,9,116
185,187,voltron: legendary defender,5,4,7,0
186,188,jack ryan,8,16,16,54
187,189,ansatsu kyôshitsu,5,4,6,67
188,190,fate/stay night: unlimited blade works,5,4,7,0
189,191,star wars: rebels,5,4,7,0
190,192,marco polo,8,6,18,137
191,193,green lantern: the animated series,5,4,7,0
192,194,fairy tail: fearî teiru,5,4,7,0
193,195,bakemonogatari,5,4,6,67
194,196,the umbrella academy,8,6,6,17
195,197,ojing-eo geim,8,16,19,84
196,198,kureimoa,5,4,7,0
197,199,phineas and ferb,5,11,5,81
198,200,burn notice,8,19,18,2
199,201,wolverine and the x-men,5,4,7,0
200,202,erufen rîto,5,4,18,76
201,203,the unit,8,16,16,54
202,204,shaman kingu,5,4,7,0
203,205,kadokyaputa sakura,5,4,7,0
204,206,transformers,5,4,7,0
205,207,dungeons & dragons,5,4,7,0
206,208,the persuaders!,8,6,6,17
207,209,wandavision,8,5,18,61
